Geneid	M04.CTRL	M04.TGFb	M04.TGFb_VTP	M04.VTP	M77.CTRL	M77.TGFb	M77.TGFb_VTP	M77.VTP	M78.CTRL	M78.TGFb	M78.TGFb_VTP	M78.VTP	M81.CTRL	M81.TGFb	M81.TGFb_VTP	M81.VTP	M89.CTRL	M89.TGFb	M89.TGFb_VTP	M89.VTP	M99.CTRL	M99.TGFb	M99.TGFb_VTP	M99.VTP
FAM41C	2	0	2	1	0	4	0	1	1	1	0	0	0	0	0	1	2	4	5	5	1	0	1	0
TUBB8P11	1	3	0	3	0	0	0	0	0	2	1	0	0	0	0	1	0	0	2	0	3	0	1	0
AL669831.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.6	0	1	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	2	0	0	1	0	1	0
AL645608.2	0	1	0	4	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0
AL645608.4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02593	3	1	1	13	0	0	6	4	0	0	1	3	4	7	22	15	0	1	6	3	0	0	0	0
SAMD11	2	7	2	8	1	0	8	0	0	3	1	0	3	6	37	13	3	0	7	5	1	0	0	0
NOC2L	1335	1570	1196	3046	714	1044	1859	1140	1114	875	1437	902	1105	1341	1521	1295	619	1137	1436	1869	1007	968	2003	925
KLHL17	215	199	128	422	108	109	223	201	166	192	196	28	177	152	230	165	111	202	140	272	108	95	192	56
PLEKHN1	106	119	81	332	36	45	165	93	37	47	94	33	34	35	85	53	35	40	40	151	36	9	91	68
PERM1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	1	0	2	1	0	0	0	0	0
AL645608.7	0	0	0	1	0	0	1	3	2	1	1	0	1	0	1	0	2	2	4	2	0	0	0	0
HES4	41	68	31	124	42	57	100	79	40	49	63	49	48	40	61	90	44	86	58	117	45	71	88	54
ISG15	769	906	555	1728	383	4086	589	396	2544	853	748	515	231	316	354	333	267	1763	587	1344	585	303	610	164
AL645608.3	0	1	0	3	1	1	0	0	0	0	0	1	0	0	0	1	0	2	0	0	2	2	0	3
AL645608.1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AGRN	4446	4718	2415	9041	3219	3472	1693	1392	6657	6245	1452	612	3943	3822	1278	1365	2614	4030	3023	6782	4971	5395	3855	1085
AL645608.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.1	8	11	8	34	9	6	16	12	4	7	3	2	4	10	8	4	6	8	10	8	1	4	11	3
AL645608.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNF223	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	156	163	89	410	78	94	134	86	132	102	106	60	131	60	106	129	68	133	110	279	123	133	198	68
AL390719.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL390719.2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TNFRSF4	2	3	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	3	0	1
SDF4	3593	4466	3497	9334	2626	3168	4274	2842	3885	3258	3176	1092	3491	3655	3693	2684	1606	4069	4023	6150	3152	3128	5092	1660
B3GALT6	383	428	208	672	299	347	300	229	289	317	325	187	487	414	449	341	240	460	304	524	349	333	377	202
C1QTNF12	0	4	1	5	7	5	10	6	6	6	2	0	4	2	10	1	4	10	5	14	2	2	7	1
AL162741.1	0	0	4	0	3	2	0	0	1	0	1	0	1	0	1	2	0	2	1	0	1	0	2	0
UBE2J2	499	538	367	946	297	487	637	422	570	501	742	205	454	596	749	506	352	512	444	827	365	436	609	327
LINC01786	4	0	1	11	2	4	1	0	4	6	0	2	3	5	5	3	2	4	0	5	1	4	1	0
SCNN1D	23	10	10	33	11	18	26	17	24	52	28	6	10	37	27	25	20	16	16	24	20	12	23	1
ACAP3	453	529	411	1285	365	395	593	491	504	486	611	290	552	393	464	546	303	494	461	848	436	373	655	232
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	164	161	105	431	111	134	258	143	130	142	256	141	149	163	188	180	113	223	168	391	130	129	269	100
INTS11	742	846	595	1604	556	403	1087	756	786	613	989	612	797	769	1101	911	459	602	489	698	560	569	1148	562
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139287.1	6	1	1	3	1	11	3	3	5	1	5	0	4	7	2	11	8	5	5	1	5	2	7	1
CPTP	384	398	268	826	147	243	381	211	264	287	370	305	242	231	303	236	175	324	275	719	249	259	394	213
TAS1R3	1	1	0	1	5	4	1	0	1	2	2	0	4	3	3	3	2	3	3	2	5	2	2	0
DVL1	1132	986	634	2218	635	580	1221	761	774	1015	1087	489	743	724	977	704	579	852	885	1956	703	671	1172	567
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	2661	3122	2525	7780	2881	3718	5506	4238	4631	4906	5749	2359	3057	3373	4722	3980	2831	4728	5180	10834	2206	2474	4884	1543
AURKAIP1	1112	1040	726	2871	486	657	1699	1074	541	680	1095	1150	1124	796	842	777	421	1021	925	1803	600	718	1354	646
NDUFB4P8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
CCNL2	1363	1336	1267	2919	1320	1518	2481	1718	1936	1616	2251	454	1924	2132	2912	2317	1400	2032	1446	1799	1282	1079	1877	710
MRPL20-AS1	124	135	125	308	115	163	184	143	182	160	213	65	180	219	232	217	84	185	180	166	140	138	226	91
MRPL20	533	706	491	944	424	604	921	516	488	423	886	427	466	494	810	581	378	859	611	488	481	427	633	513
RN7SL657P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391244.2	13	30	20	22	5	22	11	5	17	8	15	3	13	5	17	10	7	30	18	25	9	12	12	7
ANKRD65	2	0	0	2	0	2	2	2	0	0	0	0	0	4	0	1	0	1	4	7	0	0	2	0
AL391244.1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0
VWA1	25	43	39	171	41	31	45	27	24	48	26	24	81	133	72	51	50	45	38	81	55	71	58	14
ATAD3C	1	7	3	10	1	5	2	3	1	4	16	1	3	8	7	6	7	3	1	5	4	0	11	1
ATAD3B	266	258	172	462	167	276	322	250	287	261	344	145	257	227	313	235	174	226	233	482	216	202	344	158
AL645728.2	2	2	0	14	1	1	1	2	1	0	8	2	1	0	2	0	0	1	3	5	2	2	4	2
ATAD3A	447	444	332	959	253	366	454	367	344	346	550	391	408	349	479	363	232	426	360	919	342	352	616	353
TMEM240	32	35	22	82	16	16	21	20	19	17	12	5	37	30	31	32	13	30	21	50	40	22	52	10
SSU72	1299	1450	959	2192	1134	1247	2122	1173	1460	1079	1879	1293	1410	2021	2304	1499	849	2136	1229	1254	1245	1071	1809	1176
AL645728.1	19	21	15	40	10	10	21	15	17	16	22	13	11	12	24	10	2	26	23	28	18	16	20	5
AL691432.3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FNDC10	342	424	249	913	107	178	174	137	82	110	127	60	149	90	131	117	105	284	187	499	111	212	302	75
AL691432.4	13	15	18	69	4	6	6	6	0	2	1	4	5	9	11	0	2	6	5	4	3	3	13	2
AL691432.2	40	55	46	46	24	25	56	48	27	31	48	12	35	54	60	42	21	86	45	44	31	40	38	19
MIB2	463	376	229	1017	305	274	598	416	384	511	413	288	495	458	534	432	245	352	424	974	375	371	448	140
MMP23B	6	2	0	8	0	7	3	2	1	2	0	0	6	2	4	8	0	9	2	1	1	1	7	0
CDK11B	309	393	277	593	252	410	471	298	382	285	426	211	402	372	425	433	217	472	379	334	309	289	379	302
FO704657.1	0	0	3	0	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	2	0
SLC35E2B	888	964	488	1246	309	691	355	331	667	547	627	182	750	786	1026	1032	361	982	598	683	576	541	677	206
AL691432.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
MMP23A	2	1	0	5	0	2	0	1	1	0	0	0	2	0	0	8	4	6	3	2	0	0	5	1
CDK11A	24	27	18	58	38	20	49	37	13	18	22	2	20	23	28	36	36	27	28	52	20	19	55	13
AL031282.2	6	11	4	16	15	10	18	9	10	7	6	0	10	13	7	18	6	6	7	0	8	4	2	8
AL031282.1	1	1	0	1	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	4	0	0	0	0
SLC35E2A	139	145	60	187	312	181	347	275	114	92	152	34	82	93	152	209	341	194	63	71	109	84	119	32
NADK	886	1027	691	2075	599	812	1024	809	798	715	1017	453	882	829	1065	970	481	1073	928	1385	733	607	1199	421
GNB1	8072	9096	5415	9503	5857	7830	8916	5792	8649	6229	9311	3282	6642	7690	11343	7714	4811	9543	6736	4647	6266	5598	6198	4527
AL109917.1	7	3	4	3	5	4	12	3	4	2	1	0	3	3	0	2	4	5	4	1	2	2	4	2
CALML6	2	2	1	8	6	1	23	11	3	7	3	1	8	7	4	2	4	7	5	7	1	4	0	0
TMEM52	3	0	1	7	2	0	2	5	2	2	4	0	2	2	7	2	0	0	2	6	1	3	6	4
CFAP74	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391845.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GABRD	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL391845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCZ	7	8	7	6	7	51	19	13	26	23	43	13	31	27	21	22	4	73	63	45	37	27	34	17
AL590822.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
PRKCZ-AS1	36	17	8	18	9	37	11	9	30	18	14	9	36	30	24	25	22	42	32	20	25	25	24	8
FAAP20	440	485	297	1182	254	396	521	465	345	340	452	204	443	399	492	497	307	431	419	938	291	352	464	188
AL590822.1	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
SKI	825	815	729	1801	1054	1193	1538	1079	1187	1656	1303	507	1274	1943	1670	1515	1273	1476	1505	2458	1092	1236	1363	464
AL590822.3	4	3	4	7	5	11	2	3	17	10	2	1	11	5	6	5	5	8	10	17	5	17	11	0
MORN1	28	34	30	100	48	34	53	43	42	41	44	32	38	54	40	50	35	51	49	73	34	32	59	13
AL589739.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
AL513477.1	6	14	13	26	15	17	8	20	11	11	14	8	13	13	18	28	4	25	9	28	10	5	23	7
AL513477.2	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	2	0	0
RER1	1644	1949	1380	2425	1409	1756	2114	1458	1734	1502	2645	1206	1434	1649	2415	1977	1370	2160	1716	1377	1568	1337	1409	1455
PEX10	351	410	248	735	230	303	394	257	316	278	359	263	339	252	384	330	193	411	301	532	292	283	432	218
PLCH2	1	0	1	3	1	3	4	1	1	2	2	0	0	1	2	1	1	2	5	3	4	4	0	1
AL139246.1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0	2	0	3	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0
PANK4	260	290	158	519	191	217	364	227	250	205	346	118	255	276	310	205	165	304	196	309	167	140	296	105
HES5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139246.5	1	5	0	2	5	2	3	1	0	0	0	0	1	3	2	1	0	0	2	2	2	4	0	1
TNFRSF14-AS1	0	1	2	10	2	4	4	2	4	7	1	2	2	3	0	4	3	2	3	5	0	1	6	1
TNFRSF14	174	227	203	606	217	225	341	312	271	227	279	167	206	154	201	235	135	335	173	306	246	233	392	98
AL139246.2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
AL139246.3	0	0	0	0	0	2	0	0	0	2	2	0	0	0	1	0	3	1	1	0	0	0	0	0
PRXL2B	750	710	477	1509	309	380	501	346	411	324	491	251	426	334	402	369	198	533	415	862	354	370	758	258
MMEL1	1	0	1	4	0	0	0	1	2	1	2	0	0	0	0	2	1	0	0	2	2	0	2	0
MMEL1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTC34	7	8	3	13	7	4	5	12	3	9	2	0	1	2	5	8	9	2	5	7	1	2	4	7
AC242022.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC242022.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL592464.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL592464.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AL592464.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL589702.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PRDM16	2	0	2	8	0	1	1	2	2	1	1	1	0	3	6	0	3	0	4	4	0	0	2	0
MIR4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008733.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL512383.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AL590438.1	1	1	0	2	1	3	0	2	5	1	1	0	2	3	0	0	2	0	2	1	0	1	4	1
AL354743.2	7	1	0	5	4	2	9	0	2	2	6	1	2	9	6	4	4	10	7	9	2	1	7	2
AL354743.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
ARHGEF16	4	4	0	2	3	1	1	2	5	3	1	1	5	3	1	4	1	1	1	3	3	1	0	0
AL512413.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEGF6	382	496	342	945	4942	4515	4568	3272	5449	8906	3236	1256	4951	10793	4549	3755	5817	5867	5471	8987	3064	3726	2035	452
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL513320.1	2	0	0	1	1	3	2	2	0	0	0	0	0	2	0	7	1	0	6	1	3	2	2	0
TPRG1L	1619	1952	1176	2526	1394	1367	2417	1628	1501	1495	2374	1459	1196	1537	2236	1622	995	2213	1513	1559	1400	1426	1640	1126
WRAP73	197	178	165	320	159	204	250	196	216	206	267	82	217	237	286	250	132	286	168	188	167	132	232	101
TP73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AL136528.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL136528.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP73-AS1	288	318	196	472	174	268	296	177	232	195	236	100	289	279	358	299	159	321	284	341	218	234	293	95
AL136528.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMIM1	7	8	6	6	3	1	11	4	8	2	4	5	10	6	10	14	2	3	0	3	3	4	3	5
LRRC47	487	562	466	973	374	478	703	471	474	430	564	163	467	529	675	501	338	528	491	660	438	416	467	243
RN7SL574P	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0
AL365330.1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
CEP104	502	626	402	776	455	404	614	440	457	427	579	254	367	492	472	412	372	558	409	341	433	381	458	279
DFFB	40	60	36	74	57	66	92	62	56	53	75	15	64	70	115	93	37	70	54	63	64	50	56	26
C1orf174	173	232	122	169	204	202	245	171	208	172	206	38	192	170	274	183	119	288	154	96	202	147	110	94
LINC01134	5	14	3	15	4	15	7	13	6	11	17	3	7	17	12	13	3	19	4	3	11	14	10	5
LINC01346	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LINC02780	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL805961.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
EEF1DP6	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
LINC01777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL355602.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Z98747.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AJAP1	0	0	1	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Z98886.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BX005132.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139823.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z98259.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z98259.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Z98259.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z97988.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z97988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	137	173	131	349	134	130	187	151	183	133	163	50	180	143	188	158	101	165	128	213	105	136	208	48
KCNAB2	259	265	241	655	137	245	232	169	366	259	326	128	204	214	325	252	131	244	214	348	201	221	348	127
CHD5	3	11	4	16	0	0	8	6	1	2	7	3	4	6	4	9	5	0	2	4	2	3	9	1
AL031847.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL22	631	924	747	1233	836	1066	1298	797	823	670	1273	329	763	957	1250	1096	839	1411	846	683	799	645	993	363
AL031847.1	2	3	0	2	2	4	3	7	8	5	11	4	6	3	4	6	1	5	7	4	4	1	1	4
RNF207	165	124	114	277	128	152	216	180	137	136	156	40	226	281	211	271	102	146	103	130	88	86	157	58
