NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
ELECTRON TRANSPORT CHAIN: OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20220510%WP111%HOMO SAPIENS,ELECTRON TRANSPORT CHAIN: OXPHOS SYSTEM IN MITOCHONDRIA%WIKIPATHWAYS_20220510%WP111%HOMO SAPIENS,Details ...,71,0.64481694,2.2262383,0,0,0,3111,"tags=49%, list=21%, signal=62%"
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874,PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874,Details ...,79,0.63383424,2.2213752,0,0,0,3905,"tags=65%, list=26%, signal=87%"
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853,PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853,Details ...,79,0.6300199,2.218543,0,0,0,3905,"tags=63%, list=26%, signal=85%"
SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2,SELENOCYSTEINE SYNTHESIS%REACTOME%R-HSA-2408557.2,Details ...,90,0.6225522,2.2163439,0,0,0,3905,"tags=61%, list=26%, signal=82%"
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528,PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528,Details ...,79,0.63417554,2.2144487,0,0,0,3905,"tags=65%, list=26%, signal=87%"
PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776,PROTON MOTIVE FORCE-DRIVEN MITOCHONDRIAL ATP SYNTHESIS%GOBP%GO:0042776,Details ...,61,0.6600838,2.209718,0,0,0,3192,"tags=52%, list=22%, signal=67%"
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2,EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2,,90,0.62241197,2.2088509,0,0,0,3905,"tags=61%, list=26%, signal=82%"
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929,PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929,,79,0.6338109,2.206375,0,0,0,3905,"tags=65%, list=26%, signal=87%"
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517,PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517,,79,0.6331513,2.203618,0,0,0,3905,"tags=65%, list=26%, signal=87%"
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872,PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872,,79,0.6260586,2.2024798,0,0,0,3905,"tags=63%, list=26%, signal=85%"
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384,PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384,,79,0.63315344,2.197826,0,2.93E-05,0.001,3905,"tags=65%, list=26%, signal=87%"
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928,PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928,,79,0.6299963,2.195154,0,2.81E-05,0.001,3905,"tags=63%, list=26%, signal=85%"
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934,PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934,,80,0.6288246,2.192733,0,2.71E-05,0.001,3905,"tags=64%, list=26%, signal=86%"
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922,PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922,,79,0.62901634,2.192374,0,2.61E-05,0.001,3905,"tags=63%, list=26%, signal=85%"
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854,PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854,,79,0.6265388,2.191386,0,2.52E-05,0.001,3905,"tags=63%, list=26%, signal=85%"
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689,FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689,,98,0.6092106,2.1909912,0,2.44E-05,0.001,3905,"tags=57%, list=26%, signal=77%"
RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 83%611105,RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 83%611105,,101,0.6093597,2.189299,0,2.36E-05,0.001,3111,"tags=44%, list=21%, signal=55%"
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4,EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4,,90,0.61676294,2.1888413,0,2.29E-05,0.001,3905,"tags=59%, list=26%, signal=79%"
MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053,MITOCHONDRIAL GENE EXPRESSION%GOBP%GO:0140053,,137,0.58544797,2.1876984,0,2.22E-05,0.001,2795,"tags=42%, list=19%, signal=52%"
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873,PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873,,79,0.62117434,2.1876297,0,2.15E-05,0.001,3905,"tags=63%, list=26%, signal=85%"
PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986,PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986,,65,0.6505299,2.1822886,0,2.09E-05,0.001,3459,"tags=55%, list=23%, signal=72%"
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526,PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526,,79,0.6311109,2.1822438,0,2.03E-05,0.001,3905,"tags=63%, list=26%, signal=85%"
COMPLEX I BIOGENESIS%REACTOME DATABASE ID RELEASE 83%6799198,COMPLEX I BIOGENESIS%REACTOME DATABASE ID RELEASE 83%6799198,,55,0.6615916,2.1818216,0,1.98E-05,0.001,3111,"tags=53%, list=21%, signal=66%"
CELLULAR RESPIRATION%GOBP%GO:0045333,CELLULAR RESPIRATION%GOBP%GO:0045333,,138,0.57426196,2.1812558,0,1.93E-05,0.001,3460,"tags=47%, list=23%, signal=61%"
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933,PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933,,79,0.6288955,2.1808228,0,1.88E-05,0.001,3905,"tags=63%, list=26%, signal=85%"
PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206,PURINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009206,,73,0.63184,2.1796105,0,1.83E-05,0.001,3989,"tags=62%, list=27%, signal=84%"
NADH DEHYDROGENASE COMPLEX ASSEMBLY%GOBP%GO:0010257,NADH DEHYDROGENASE COMPLEX ASSEMBLY%GOBP%GO:0010257,,58,0.6572541,2.1790037,0,1.78E-05,0.001,3111,"tags=53%, list=21%, signal=67%"
PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145,PURINE NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009145,,73,0.63184,2.1782079,0,1.74E-05,0.001,3989,"tags=62%, list=27%, signal=84%"
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862,PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862,,79,0.63311386,2.1739461,0,1.70E-05,0.001,3905,"tags=65%, list=26%, signal=87%"
OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20220510%WP623%HOMO SAPIENS,OXIDATIVE PHOSPHORYLATION%WIKIPATHWAYS_20220510%WP623%HOMO SAPIENS,,37,0.70554423,2.1725116,0,1.66E-05,0.001,2108,"tags=54%, list=14%, signal=63%"
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108,MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY%GOBP%GO:0033108,,92,0.6162123,2.1723526,0,1.63E-05,0.001,2448,"tags=41%, list=17%, signal=49%"
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695,PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695,,79,0.62901634,2.1700754,0,1.59E-05,0.001,3905,"tags=63%, list=26%, signal=85%"
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918,PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918,,79,0.63140523,2.1684341,0,1.56E-05,0.001,3905,"tags=63%, list=26%, signal=85%"
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902,PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902,,86,0.61556536,2.1648774,0,1.52E-05,0.001,3905,"tags=60%, list=26%, signal=82%"
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525,PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525,,79,0.6299771,2.1589456,0,2.97E-05,0.002,3905,"tags=63%, list=26%, signal=85%"
ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754,ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754,,71,0.6281117,2.152982,0,2.91E-05,0.002,3989,"tags=61%, list=27%, signal=82%"
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY%GOBP%GO:0032981,MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX I ASSEMBLY%GOBP%GO:0032981,,58,0.6572541,2.1502395,0,2.86E-05,0.002,3111,"tags=53%, list=21%, signal=67%"
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858,PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858,,79,0.62704957,2.149285,0,2.80E-05,0.002,3905,"tags=63%, list=26%, signal=85%"
AEROBIC RESPIRATION%GOBP%GO:0009060,AEROBIC RESPIRATION%GOBP%GO:0009060,,126,0.58069545,2.1395152,0,2.75E-05,0.002,3192,"tags=45%, list=22%, signal=57%"
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975956,NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975956,,92,0.6014416,2.1370966,0,2.70E-05,0.002,3905,"tags=57%, list=26%, signal=76%"
"MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120","MITOCHONDRIAL ELECTRON TRANSPORT, NADH TO UBIQUINONE%GOBP%GO:0006120",,40,0.68705016,2.1353407,0,2.65E-05,0.002,3111,"tags=55%, list=21%, signal=69%"
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3,EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3,,116,0.5760055,2.1335635,0,2.60E-05,0.002,3905,"tags=53%, list=26%, signal=72%"
PROTEIN LOCALIZATION%REACTOME%R-HSA-9609507.2,PROTEIN LOCALIZATION%REACTOME%R-HSA-9609507.2,,141,0.56159705,2.132679,0,2.56E-05,0.002,2975,"tags=44%, list=20%, signal=54%"
HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2,,44,0.68038625,2.1303406,0,2.51E-05,0.002,2687,"tags=52%, list=18%, signal=64%"
OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119,OXIDATIVE PHOSPHORYLATION%GOBP%GO:0006119,,99,0.59291923,2.128253,0,2.47E-05,0.002,3402,"tags=46%, list=23%, signal=60%"
"RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1","RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1",,122,0.58196276,2.128079,0,2.43E-05,0.002,3192,"tags=43%, list=22%, signal=54%"
RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009201,RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009201,,78,0.6112514,2.1243472,0,3.57E-05,0.003,3192,"tags=50%, list=22%, signal=63%"
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.2,CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.2,,116,0.5760055,2.1234362,0,3.51E-05,0.003,3905,"tags=53%, list=26%, signal=72%"
MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775,MITOCHONDRIAL ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042775,,76,0.61157155,2.1099546,0,5.77E-05,0.005,3111,"tags=45%, list=21%, signal=56%"
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773,ATP SYNTHESIS COUPLED ELECTRON TRANSPORT%GOBP%GO:0042773,,76,0.61157155,2.1077023,0,5.68E-05,0.005,3111,"tags=45%, list=21%, signal=56%"
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME DATABASE ID RELEASE 83%72706,GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME DATABASE ID RELEASE 83%72706,,109,0.57014084,2.0920556,0,1.00E-04,0.009,3905,"tags=52%, list=26%, signal=70%"
MITOCHONDRIAL PROTEIN IMPORT%REACTOME%R-HSA-1268020.3,MITOCHONDRIAL PROTEIN IMPORT%REACTOME%R-HSA-1268020.3,,61,0.6318689,2.0909219,0,1.10E-04,0.01,3536,"tags=52%, list=24%, signal=69%"
VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 83%192823,VIRAL MRNA TRANSLATION%REACTOME DATABASE ID RELEASE 83%192823,,86,0.5911001,2.0859766,0,1.30E-04,0.012,3905,"tags=59%, list=26%, signal=80%"
AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646,AEROBIC ELECTRON TRANSPORT CHAIN%GOBP%GO:0019646,,75,0.6028733,2.0844223,0,1.28E-04,0.012,3111,"tags=44%, list=21%, signal=55%"
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3,L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3,,108,0.5701162,2.0834193,0,1.26E-04,0.012,3905,"tags=53%, list=26%, signal=71%"
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181,CYTOPLASMIC TRANSLATION%GOBP%GO:0002181,,120,0.56746787,2.0803795,0,1.45E-04,0.014,3905,"tags=53%, list=26%, signal=72%"
NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009142,NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009142,,85,0.59006184,2.0690446,0,1.74E-04,0.017,3192,"tags=49%, list=22%, signal=63%"
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 83%9633012,RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 83%9633012,,98,0.5723997,2.061765,0,2.01E-04,0.02,3905,"tags=52%, list=26%, signal=70%"
ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS%GOBP%GO:0015980,ENERGY DERIVATION BY OXIDATION OF ORGANIC COMPOUNDS%GOBP%GO:0015980,,163,0.53373307,2.0601468,0,2.09E-04,0.021,3192,"tags=42%, list=22%, signal=53%"
SELENOAMINO ACID METABOLISM%REACTOME%R-HSA-2408522.4,SELENOAMINO ACID METABOLISM%REACTOME%R-HSA-2408522.4,,111,0.5611306,2.0424016,0,3.42E-04,0.035,3905,"tags=53%, list=26%, signal=72%"
CELLULAR RESPONSE TO STARVATION%REACTOME DATABASE ID RELEASE 83%9711097,CELLULAR RESPONSE TO STARVATION%REACTOME DATABASE ID RELEASE 83%9711097,,147,0.54045343,2.042375,0,3.38E-04,0.035,3905,"tags=51%, list=26%, signal=69%"
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904,RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904,,85,0.57157874,2.0368447,0,4.29E-04,0.045,3111,"tags=42%, list=21%, signal=53%"
RIBOSOMAL SMALL SUBUNIT BIOGENESIS%GOBP%GO:0042274,RIBOSOMAL SMALL SUBUNIT BIOGENESIS%GOBP%GO:0042274,,69,0.6015005,2.0310497,0,4.80E-04,0.051,4027,"tags=57%, list=27%, signal=77%"
PHOTODYNAMIC THERAPY-INDUCED NFE2L2 (NRF2) SURVIVAL SIGNALING%WIKIPATHWAYS_20220510%WP3612%HOMO SAPIENS,PHOTODYNAMIC THERAPY-INDUCED NFE2L2 (NRF2) SURVIVAL SIGNALING%WIKIPATHWAYS_20220510%WP3612%HOMO SAPIENS,,18,0.79260206,2.030932,0,4.73E-04,0.051,912,"tags=50%, list=6%, signal=53%"
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220510%WP477%HOMO SAPIENS,CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20220510%WP477%HOMO SAPIENS,,82,0.57303613,2.0229433,0,5.97E-04,0.065,3905,"tags=57%, list=26%, signal=77%"
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME%R-HSA-9010553.1,REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME%R-HSA-9010553.1,,157,0.5226578,2.010437,0,7.17E-04,0.077,3905,"tags=50%, list=26%, signal=68%"
SPLICEOSOMAL SNRNP ASSEMBLY%GOBP%GO:0000387,SPLICEOSOMAL SNRNP ASSEMBLY%GOBP%GO:0000387,,37,0.6540058,1.992577,0,9.87E-04,0.105,3007,"tags=54%, list=20%, signal=68%"
U12 DEPENDENT SPLICING%REACTOME%R-HSA-72165.1,U12 DEPENDENT SPLICING%REACTOME%R-HSA-72165.1,,50,0.6168374,1.9823982,0,0.001141626,0.12,2074,"tags=40%, list=14%, signal=46%"
NONSENSE-MEDIATED DECAY (NMD)%REACTOME DATABASE ID RELEASE 83%927802,NONSENSE-MEDIATED DECAY (NMD)%REACTOME DATABASE ID RELEASE 83%927802,,112,0.5411761,1.9819663,0,0.001145491,0.122,3905,"tags=49%, list=26%, signal=66%"
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975957,NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME DATABASE ID RELEASE 83%975957,,112,0.5411761,1.9762186,0,0.001269902,0.137,3905,"tags=49%, list=26%, signal=66%"
THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-1428517.1,THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-1428517.1,,165,0.5117434,1.9754862,0,0.001263712,0.138,3111,"tags=41%, list=21%, signal=51%"
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900,ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900,,90,0.55616903,1.9753977,0,0.001249018,0.138,3111,"tags=42%, list=21%, signal=53%"
PAUSING AND RECOVERY OF TAT-MEDIATED HIV ELONGATION%REACTOME%R-HSA-167238.2,PAUSING AND RECOVERY OF TAT-MEDIATED HIV ELONGATION%REACTOME%R-HSA-167238.2,,30,0.6690037,1.966678,0.001689189,0.001451734,0.162,2224,"tags=50%, list=15%, signal=59%"
HIV ELONGATION ARREST AND RECOVERY%REACTOME%R-HSA-167287.3,HIV ELONGATION ARREST AND RECOVERY%REACTOME%R-HSA-167287.3,,32,0.6594891,1.9514148,0,0.001897126,0.212,2224,"tags=50%, list=15%, signal=59%"
HALLMARK_DNA_REPAIR%MSIGDBHALLMARK%HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR%MSIGDBHALLMARK%HALLMARK_DNA_REPAIR,,111,0.53397316,1.9468527,0,0.002063117,0.233,3595,"tags=46%, list=24%, signal=60%"
PAUSING AND RECOVERY OF HIV ELONGATION%REACTOME%R-HSA-167290.2,PAUSING AND RECOVERY OF HIV ELONGATION%REACTOME%R-HSA-167290.2,,32,0.6594891,1.946699,0,0.002040193,0.233,2224,"tags=50%, list=15%, signal=59%"
RIBOSOMAL LARGE SUBUNIT BIOGENESIS%GOBP%GO:0042273,RIBOSOMAL LARGE SUBUNIT BIOGENESIS%GOBP%GO:0042273,,65,0.56789666,1.9442781,0,0.002097585,0.241,3070,"tags=45%, list=21%, signal=56%"
PROTEIN LOCALIZATION TO MITOCHONDRION%GOBP%GO:0070585,PROTEIN LOCALIZATION TO MITOCHONDRION%GOBP%GO:0070585,,73,0.5702372,1.9432203,0,0.002130108,0.245,2167,"tags=34%, list=15%, signal=40%"
REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU-RICH ELEMENTS%REACTOME DATABASE ID RELEASE 83%450531,REGULATION OF MRNA STABILITY BY PROTEINS THAT BIND AU-RICH ELEMENTS%REACTOME DATABASE ID RELEASE 83%450531,,84,0.55282325,1.9425179,0,0.00212294,0.247,2744,"tags=36%, list=19%, signal=44%"
TAT-MEDIATED HIV ELONGATION ARREST AND RECOVERY%REACTOME%R-HSA-167243.3,TAT-MEDIATED HIV ELONGATION ARREST AND RECOVERY%REACTOME%R-HSA-167243.3,,30,0.6690037,1.9417841,0,0.00211584,0.249,2224,"tags=50%, list=15%, signal=59%"
MATURATION OF SSU-RRNA%GOBP%GO:0030490,MATURATION OF SSU-RRNA%GOBP%GO:0030490,,46,0.60942644,1.9396377,0,0.002208053,0.26,3499,"tags=50%, list=24%, signal=65%"
ESTABLISHMENT OF PROTEIN LOCALIZATION TO MITOCHONDRION%GOBP%GO:0072655,ESTABLISHMENT OF PROTEIN LOCALIZATION TO MITOCHONDRION%GOBP%GO:0072655,,67,0.5740606,1.9385926,0,0.002207671,0.262,3672,"tags=46%, list=25%, signal=61%"
ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 83%68867,ASSEMBLY OF THE PRE-REPLICATIVE COMPLEX%REACTOME DATABASE ID RELEASE 83%68867,,95,0.5415955,1.9381177,0,0.002214862,0.266,2744,"tags=38%, list=19%, signal=46%"
ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%R-HSA-167242.2,ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME%R-HSA-167242.2,,23,0.71121585,1.9361889,0,0.002325708,0.28,2224,"tags=57%, list=15%, signal=66%"
REGULATION OF ORNITHINE DECARBOXYLASE (ODC)%REACTOME DATABASE ID RELEASE 83%350562,REGULATION OF ORNITHINE DECARBOXYLASE (ODC)%REACTOME DATABASE ID RELEASE 83%350562,,49,0.59474105,1.934051,0,0.002368393,0.286,2744,"tags=43%, list=19%, signal=52%"
